language,family
Ciguayo,Not found
Cinta Larga,Tupian
Clatskanie,Athabaskan-Eyak-Tlingit
Cmiique iitom (Seri),Unknown
Coahuilteco,Unknown
Coast Miwok,Miwok-Costanoan
Coast Yuki,Yuki-Wappo
Coca,Uto-Aztecan
Cocopah (Xawiƚƚ kwñchawaay),Not found
Coeur d’Alene,Salishan
Colla,Quechuan
Columbia,Salishan
Concho,Unclassifiable
Congaree,Not found
Conoy,Algic
Coos,Coosan
"Coquille, Umpqua, Chetco, Tolowa, Tututni",Athabaskan-Eyak-Tlingit
Coree,Koreanic
Cowlitz,Salishan
Coyutecos (Nahuatl),Uto-Aztecan
Crow,Siouan
Cruzeño,Chumashan
Cuitlatec,Unknown
Cusabo,Unclassifiable
Dadi Dadi,Teberan
Dainggatti,Pama-Nyungan
Dakelh (ᑕᗸᒡ),Not found
Dakhóta (Eastern Dakota),Not found
Dakȟóta (Western Dakota),Not found
Damana,Chibchan
Danezaa ZaageɁ ᑕᓀᖚ ᖚᗀᐥ (Beaver),Athabaskan-Eyak-Tlingit
Danezāgé’,Not found
Dangbon,Gunwinyguan
Danggali,Pama-Nyungan
Darkinung,Pama-Nyungan
Darumbal,Pama-Nyungan
Deg Xinag,Athabaskan-Eyak-Tlingit
Den k’e,Chonan
Dena’ina,Athabaskan-Eyak-Tlingit
Dene K’e,Chonan
Dene Zágéʼ (Kaska),Athabaskan-Eyak-Tlingit
Dení,Arawan
Desano,Tucanoan
Dhalun-Dhirr,Not found
Dharawala,Not found
Dharug,Pama-Nyungan
Dhirari,Pama-Nyungan
Dhurga,Pama-Nyungan
Dibaku (Cuicateco),Otomanguean
Dieri,Pama-Nyungan
Diitiidʔaatx̣,Wakashan
Dilzhę́’é (North),Austronesian
Dilzhę́’é (South),Eskimo-Aleut
Dinjii Zhu’ Ginjik (Gwich’in),Athabaskan-Eyak-Tlingit
Diné Bizaad,Athabaskan-Eyak-Tlingit
Djabuganjdji,Not found
Djabwurung,Not found
Djadjawurrung,Not found
Djargurdwurung,Not found
Djawi,Nyulnyulan
Djeoromitxí,Nuclear-Macro-Je
Djirbalngan,Not found
Doolboong/Miriwoong,Not found
Dunanmunai,Not found
Dâw,Naduhup
Dän kʼè (S Tutchone),Not found
Dän kʼí (N Tutchone),Athabaskan-Eyak-Tlingit
Dëne Sųłı̨né Yatıé (Chipewyan),Athabaskan-Eyak-Tlingit
Eastern Keres,Keresan
Eastern Swampy Cree,Algic
Eduúria,Not found
Eibole,Not found
Emérillon,Bookkeeping
Enawenê-nawê,Arawakan
Enenlhet,Bookkeeping
Enlhet,Lengua-Mascoy
Eno,Charruan
Enxet,Lengua-Mascoy
Eora,Pama-Nyungan
Erie,Unclassifiable
Erub,Eastern Trans-Fly
Ese Eja,Pano-Tacanan
Esselen,Unknown
Ette Taara,Chibchan
Eyak,Athabaskan-Eyak-Tlingit
Eyeri,Pama-Nyungan
E’ñepá,Not found
Flinders Island,Pama-Nyungan
Fox,Algic
Gabalbara,Not found
Gadubanud,Not found
Gagudju,Unknown
Galibal,Not found
Gamberre,Worrorran
Gananggalinda,Not found
Ganggalida,Tangkic
Gangulu,Pama-Nyungan
Garawa,Garrwan
Garingbal,Pama-Nyungan
Garífuna,Arawakan
Gathang,Not found
Gayardilt,Tangkic
Gayiri,Not found
Geawegal,Pama-Nyungan
Ghadames,Afro-Asiatic
Giraiwurung,Not found
Gitsenimx̱,Tsimshian
Giya,Pama-Nyungan
Gooniyandi,Bunaban
Goreng,Not found
Grigra,Not found
Gros Ventre,Algic
Guajiba,Not found
Guale,Unattested
Guamares,Not found
Guanahatabey,Not found
Guanche,Afro-Asiatic
Guane,Guahiboan
Guaná,Lengua-Mascoy
Guarayu,Tupian
Guarijío,Uto-Aztecan
Guasaves/Tamazulas,Not found
Guató,Unknown
Guaycura,Not found
Guaycurú,Not found
Gubbi Gubbi,Pama-Nyungan
Gudang,Pama-Nyungan
Guenoa-Minuanes,Not found
Gugu-Badhun,Pama-Nyungan
Gulidjan,Not found
Gumbaynggirr,Pama-Nyungan
Gunagaya / Gunagagga | Dulegaya / Dulegagga,Not found
Gunbalang,Gunwinyguan
Gundara,Pama-Nyungan
Gunditjmara,Pama-Nyungan
Gundungurra,Not found
Gungabula,Pama-Nyungan
Gunggari,Pama-Nyungan
Gungurugoni,Maningrida
Gunibidji,Maningrida
Gunindiri,Not found
Gunu,Atlantic-Congo
Gunwinggu,Giimbiyu
Gureng Gureng,Pama-Nyungan
Gurindji,Pama-Nyungan
Guringai,Not found
Guugu Diirrurru,Not found
Guugu Nyalaadyi,Not found
Guugu Nyiiguudyi,Not found
Guugu Yinaa,Not found
Guugu-Yimidhirr,Pama-Nyungan
Guwa,Pama-Nyungan
Guwinmal,Not found
Günün a Yajüch,Not found
Hailhzaqvla,Not found
Halchiohoma,Not found
Han,Athabaskan-Eyak-Tlingit
Hantõ Jasõng,Not found
Harakbut,Not found
Havasupai,Cochimi-Yuman
Henîa-Kamiare,Not found
Hidatsa,Siouan
Hinónoʼeitíít (Arapaho),Algic
Hitnü,Guahiboan
Hiwatahia Taíno,Arawakan
Hixkaryana,Cariban
Hoailona ʻŌlelo o Hawaiʻi (Hawai’i Sign Language),Not found
Hokana,Not found
Holikachuk,Athabaskan-Eyak-Tlingit
Hoocąk (Ho-Chunk),Siouan
Hopilavayi,Not found
Hoti,Unknown
Houma,Palaihnihan
Huasteca Nahuatl,Uto-Aztecan
Huetar,Chibchan
Hul’q’umi’num’ / Halq’eméylem / hən̓q̓əmin̓əm̓,Not found
Hupa,Athabaskan-Eyak-Tlingit
Hupda,Naduhup
Háusi Kúta,Unknown
Hñähñu (Otomí),Otomanguean
Ichishkiin,Not found
Igbo,Atlantic-Congo
Ika,Atlantic-Congo
Ikolen,Not found
Ikpeng,Cariban
Ikíitu,Not found
Illinois,Algic
Inari Sámi,Uralic
Inga,Quechuan
Iningai,Not found
Injinoo Ikya (Uradhi),Bookkeeping
Inland Łingít,Athabaskan-Eyak-Tlingit
Innu-aimun (Central Montagnais),Algic
Innu-aimun (Mani-Utenam),Not found
Innu-aimun (Mashkuannu),Not found
Innu-aimun (Montagnais-Est),Not found
Innu-aimun (Mushuau),Not found
Innu-aimun (Nehlueun),Not found
Innu-aimun (Sheshatshiu),Not found
Innu-aimun (Uashunnu),Not found
Inuinnaqtun,Eskimo-Aleut
Inuktun,Eskimo-Aleut
Inupiaq,Not found
Iogys,Not found
Ipai,Cochimi-Yuman
Iranxe,Unknown
Irritilas/Lagunero,Not found
Iskonawa,Pano-Tacanan
Itonama,Unknown
Itzá,Mayan
Iwaidja,Iwaidjan Proper
Ixil,Mayan
Izhoran Keeli,Uralic
Iñapari,Arawakan
Jabirrjabirr,Nyulnyulan
Jaburrara,Pama-Nyungan
Jach-t’aan (Lacandon),Mayan
Jaitmatang,Not found
Jamamadí,Arawan
Jaminjung,Mirndi
Janos,Indo-European
Jaqaru,Aymaran
Jarawára,Not found
Jardwadjali,Not found
Jaru,Pama-Nyungan
Jaspuy pai (Akwa’ala),Not found
Javaé,Nuclear-Macro-Je
Jawoyn,Gunwinyguan
Jiak Noki (Yaqui),Uto-Aztecan
Jingili,Mirndi
Jiw,Guahiboan
Jiwarli,Pama-Nyungan
Joba,Atlantic-Congo
Jococobas,Not found
Jukude,Not found
Jukun,Nyulnyulan
Julimes,Not found
Jumanos,Not found
Jurruru,Pama-Nyungan
Juruna,Tupian
Jíwere ich’é,Not found
Kaantju,Pama-Nyungan
Kadiwéu,Guaicuruan
Kadjerong,Jarrakan
Kagwahiva,Tupian
Kaiabi,Not found
Kaingang,Nuclear-Macro-Je
Kainuu Sámi,Uralic
Kakataibo,Pano-Tacanan
Kakinte,Arawakan
Kakua,Kakua-Nukak
Kakán,Not found
Kala Lagaw Ya,Pama-Nyungan
Kalaallisut,Eskimo-Aleut
Kalaamaya,Pama-Nyungan
Kalapalo,Cariban
Kalapuya,Kalapuyan
Kalaw Kawaw Ya,Pama-Nyungan
Kalinago,Not found
Kalispel,Salishan
Kalkadoon,Pama-Nyungan
Kamaiurá,Tupian
Kamilaroi,Pama-Nyungan
Kamsá,Unknown
Kanaagin,Not found
Kanamari,Katukinan
Kandozi-Chapra,Unknown
Kanienʼkehá꞉ka (Mohawk),Iroquoian
Kaniyang,Not found
Kanoê,Unknown
Kapanawa,Pano-Tacanan
Kaqchikel,Mayan
Karajarri,Pama-Nyungan
Karajá,Nuclear-Macro-Je
Karangpurru,Not found
Karangura,Pama-Nyungan
Karankawa,Unknown
Karapanã-Tapúya,Not found
Karenggapa,Pama-Nyungan
Karijona,Cariban
Karitiana,Tupian
Kariyarra,Pama-Nyungan
Kariña,Cariban
Karjalan Kieli (Karelian),Uralic
Karkin,Miwok-Costanoan
Karo,South Omotic
Karuk,Unknown
Karuwali,Not found
Kashaya,Pomoan
Katukina,Bookkeeping
Katukina/Pedá Djapá,Katukinan
Kaurareg,Not found
Kaurna,Pama-Nyungan
Kaveltcadom,Not found
Kawaiisu,Uto-Aztecan
Kawgian,Not found
Kawiyarí,Not found
Kawki,Not found
Kawéskar,Kawesqar
Kaxarari,Pano-Tacanan
Kaxuyana,Not found
Kaytej,Pama-Nyungan
Kaáⁿze,Not found
Ka’apor,Not found
Kemi Sámi,Uralic
Keyauwee,Not found
Keys,Not found
Kichagga,Not found
Kichwa Amazónico,Not found
Kickapoo,Algic
Kija,Jarrakan
Kildin Sámi,Uralic
Kiliwa,Cochimi-Yuman
Kinja Iara,Unknown
Kiowa Apache,Athabaskan-Eyak-Tlingit
Kitanemuk,Uto-Aztecan
Kittitas,Not found
Kivallirmiutut,Not found
Kizh,Not found
Klamath,Unknown
Klikitat,Sahaptian
Koasati,Muskogean
Kok Wap,Yuki-Wappo
Kokatha,Pama-Nyungan
Kokiny,Not found
Koknar,Pama-Nyungan
Koko Babangk,Bookkeeping
Koko Dhawa,Pama-Nyungan
Koko-bera,Pama-Nyungan
Kokomini,Not found
Kokowarra,Pama-Nyungan
Komi,Uralic
Konbudj,Not found
Konkow Maidu,Maiduan
Konomihu,Shastan
Kooma,Pama-Nyungan
Korewaxi,Not found
Koroa,Not found
Korubo,Pano-Tacanan
Kotiria,Tucanoan
Koti’ (Chuj),Mayan
Koyukon,Athabaskan-Eyak-Tlingit
Krahô,Nuclear-Macro-Je
Krenyê,Not found
Krikatí,Not found
Ktunaxa,Unknown
Kubeo,Tucanoan
Kugu Muminh,Pama-Nyungan
Kugu Mu’inh,Not found
Kugu Ubangh,Not found
Kugu Uwanh,Pama-Nyungan
Kugu Yi’anh,Not found
Kuikuro,Cariban
Kukama Kukamiria,Tupian
Kukatj,Pama-Nyungan
Kukatja,Pama-Nyungan
Kuku-yalanji,Pama-Nyungan
Kulina,Arawan
Kulkalgau Ya,Atlantic-Congo
Kullilla,Pama-Nyungan
Kumeyaay/Kumiai-Tipai,Not found
Kundjey’mi,Not found
Kungarakany,Unknown
Kunigami,Japonic
Kunja,Yam
Kunjen,Pama-Nyungan
Kunza,Unknown
Kureinji,Not found
Kurnai (Gunai),Pama-Nyungan
Kurrama,Pama-Nyungan
Kurripako,Arawakan
Kurtjar,Pama-Nyungan
Kuruaya,Tupian
Kuthant,Pama-Nyungan
Kuuk Yak,Pama-Nyungan
Kuuku I’yu,Not found
Kuuku-yani,Pama-Nyungan
Kuuku-ya’u,Not found
Kuungkari,Pama-Nyungan
Kuupangaxwichem (Cupeño),Uto-Aztecan
Kuuvuan KaNianiq,Not found
Kuwarra,Not found
Kuwema,Northern Daly
Kuyani,Pama-Nyungan
Kuyubí,Not found
Ku’ahl,Not found
Kwak̓wala,Wakashan
Kwalhiokwa,Not found
Kwazá,Not found
Kwini,Worrorran
Kʷínaył,Salishan
K’iche’,Not found
Lacatca Moqoit,Not found
Ladamngid,Pama-Nyungan
Lake Miwok,Miwok-Costanoan
Lakty’añ (Ch’ol),Not found
Lakȟótiyapi (Lakota),Siouan
Lamalama,Pama-Nyungan
Lamtéc Chaná,Charruan
Lardil,Tangkic
Larrakia,Unknown
Lassik,Athabaskan-Eyak-Tlingit
Latje Latje,Not found
Laurentian,Iroquoian
Laymón (Cochimí),Cochimi-Yuman
Leco,Unknown
Lenape,Algic
Lenca,Lencan
LhimaꞋalhꞋama/ Lhimasipij (Tepehua),Totonacan
Lhéchalosem (Nooksack),Salishan
Limilngan,Limilngan-Wulna
Linngithigh,Pama-Nyungan
Lipan Apache,Athabaskan-Eyak-Tlingit
Lokono (Arawak),Arawakan
Lower Chinook,Chinookan
Lower Rogue River,Unknown
Luiseño,Uto-Aztecan
Lule,Unknown
Lule Sámi,Uralic
Lummi,Salishan
Luritja,Pama-Nyungan
Lushootseed,Salishan
Luthigh,Pama-Nyungan
MaayatꞋaan (Maya),Mayan
Maańśi Latyng,Uralic
Mabuyag,Pama-Nyungan
Machaj Juyay,Not found
Macorix,Not found
Macuxi,Cariban
Madi Madi,Arawan
Mahican,Algic
Mai Co’ca (Siona),Tucanoan
Maiawali,Not found
Maijɨki,Not found
Mako,Saliban
Makuna-Erulia,Tucanoan
Makurap,Tupian
Maká,Mataguayan
Malak malak,Eastern Daly
Maleku Ihaíca,Not found
Maliseet-Passamaquoddy,Algic
Malkana,Pama-Nyungan
Malpa,Pama-Nyungan
Malyangaba,Not found
Mam/Qyool,Not found
Mamangathi,Not found
Mandan,Siouan
Mandandanji,Pama-Nyungan
Mandjindja,Not found
Manekenke,Not found
Mangala,Pama-Nyungan
Mangarayi,Mangarrayi-Maran
Manjui / Chorote Iyo’wujwa,Mataguayan
Mansos,Not found
Mapoyo,Cariban
Mapudungun,Araucanian
Mara,Sino-Tibetan
Maranunggu,Western Daly
Margany,Pama-Nyungan
Maricopa,Cochimi-Yuman
Marramaninjsji,Western Daly
Marrett River,Unknown
Marringarr,Western Daly
Marrithiyel,Western Daly
Martu Wangka,Pama-Nyungan
Martuthunira,Pama-Nyungan
Marubo,Pano-Tacanan
Massachuset,Algic
Matagalpa,Misumalpan
Matawai,Not found
Matipu,Cariban
Matis,Pano-Tacanan
Matlatzinco/Tlahuica/Ocuiltec,Not found
Matlatzinco/matlatzinteca,Not found
Matsigenka,Arawakan
Matsés,Pano-Tacanan
Mattole,Athabaskan-Eyak-Tlingit
Maung,Iwaidjan Proper
Mawayama,Not found
Maxakalí,Nuclear-Macro-Je
Maya,Mayan
Mayi-Kulan,Pama-Nyungan
Mayi-Kutuna,Pama-Nyungan
Mayi-Thakurti,Pama-Nyungan
Mayi-Yapi,Pama-Nyungan
Mazatec,Otomanguean
Mbabaram,Pama-Nyungan
Mbara,Pama-Nyungan
Mbeiwum,Pama-Nyungan
Mbukarla,Unknown
Mbya,Tupian
Mebengokré,Not found
Meeramuni,Not found
Meherrin,Unclassifiable
Mehináku,Arawakan
Menominee,Algic
Mer,Mairasic
Meriam Mir,Eastern Trans-Fly
Meru,Atlantic-Congo
Mexicanero (Nahuatl),Uto-Aztecan
Mexicano (alto de occidente),Not found
Mexicano (central bajo),Otomanguean
Mexicano (de Puente de Ixtla),Not found
Mexicano (de Temixco),Not found
Mexicano (de Tetela del Volcán),Not found
Mexicano (de la Huasteca hidalguense),Not found
Mexicano (del centro alto),Not found
Mexicano (del centro bajo),Not found
Mexicano (del centro),Uto-Aztecan
Mexicano (del noroeste),Otomanguean
Mexicano (del oriente central),Not found
Mexicano (del oriente de Puebla),Not found
Mexicano (del oriente),Otomanguean
Miami,Algic
Michif,Algic
Mikisúkî-Hitchiti,Not found
Millcayac-Allientac,Not found
Minang,Austronesian
Mingin,Not found
Minyangbal,Pama-Nyungan
Miraña,Boran
Mirning,Pama-Nyungan
Miskito,Misumalpan
Mississauga/Eastern Anishinaabemowin (Ojibwe),Algic
Mithaka,Pama-Nyungan
Mitsqanaqan (Ventureño),Chumashan
Miwa,Worrorran
Miyan,Bookkeeping
Mi’kmaq,Not found
Mobilian Jargon,Pidgin
Modoc,Unknown
Mohegan,Algic
Mojave,Cochimi-Yuman
Mojeño Ignaciano,Arawakan
Mojeño Trinitario,Arawakan
Mokaná,Not found
Molala,Unknown
Monacan,Not found
Monqui,Unclassifiable
Montauk,Algic
Mopán,Mayan
Morrobolam,Pama-Nyungan
Moré,Chapacuran
Mosetén,Unknown
Mountain Maidu,Maiduan
Movima,Unknown
Mpalitjanh,Not found
Mudburra,Pama-Nyungan
Munduruku,Tupian
Munichi,Unknown
Munsee Delaware,Algic
Mura,Unknown
Murrinh-patha,Southern Daly
Murui-Muinanɨ,Not found
Muruwari,Pama-Nyungan
Mutsun,Miwok-Costanoan
Mutyanthi,Not found
Muysccubun,Not found
Mvskoke (Muscogee),Not found
Myakufutsu,Not found
Naahmigus,Not found
Nadut’en (Babine-Wet’suwet’en),Not found
Nadöb,Naduhup
Nafusi,Afro-Asiatic
Nahua,Bookkeeping
Nahuatl (mexicano bajo de occidente),Not found
Nahukwá,Not found
Nakako,Not found
Nakara,Maningrida
Nakota,Not found
Nambiquara do norte,Lengua-Mascoy
Nambiquara do sur,Arawan
Namtrik,Not found
Nana,Pama-Nyungan
Nansemond,Not found
Nanti,Arawakan
Nanticoke,Algic
Narangga,Pama-Nyungan
Nari Nari,Barbacoan
Nasa Yuwe,Unknown
Natchez,Unknown
Natsilingmiutut,Eskimo-Aleut
Nauset,Not found
Nawat,Uto-Aztecan
Nawu,Atlantic-Congo
Nayeeri (Cora),Uto-Aztecan
Ndé Bizaa’ (Mescalero Apache),Not found
Nedut’en,Not found
Nehantic,Not found
Nespelem-Sanpoil,Not found
Neusiok,Not found
New River Shasta,Shastan
Ngaanyatjarra,Pama-Nyungan
Ngadhugudi,Not found
Ngadjuri,Pama-Nyungan
Ngalakan,Gunwinyguan
Ngalawangka,Not found
Ngalea,Afro-Asiatic
Ngaliwuru,Mirndi
Ngalkbun,Gunwinyguan
Ngamini,Pama-Nyungan
Ngandi,Gunwinyguan
Ngandji,Mirndi
Nganduwal,Not found
Nganyaywana,Pama-Nyungan
Ngan’gikurunggurr,Not found
Ngan’giwumirri,Not found
Ngargad,Not found
Ngarigo,Not found
Ngarinman,Pama-Nyungan
Ngarinyin,Worrorran
Ngarla,Pama-Nyungan
Ngarluma,Pama-Nyungan
Ngarrindjeri,Pama-Nyungan
Ngarti,Pama-Nyungan
Ngatatjara,Pama-Nyungan
Ngatjumay,Pama-Nyungan
Ngawun,Pama-Nyungan
Ngiba/Ngiwa,Not found
Ngombur,Unattested
Ngoorabul,Not found
Nguburinji,Not found
Ngumbarl,Nyulnyulan
Ngunawal,Not found
Nguri,Tamaic
Ngurraiillam,Not found
Ngäbere,Chibchan
Nhanta,Pama-Nyungan
Nheengatu/Yeral,Not found
Nhuwala,Pama-Nyungan
Nicarao,Uto-Aztecan
Niigugis,Not found
Nimanburu,Not found
Nipmuc,Algic
Nisenan,Maiduan
Nisg̱a’a,Not found
Nivaclé,Mataguayan
Noctén,Not found
Nomatsigenga,Arawakan
Nomlaki,Wintuan
Nongatl,Athabaskan-Eyak-Tlingit
Nonuya,Huitotoan
Nooksak,Not found
Noongar,Pama-Nyungan
North Baffin Qikiqtaluk uannangani,Eskimo-Aleut
North Sámi,Uralic
North Tiwa,Kiowa-Tanoan
Northeastern Pomo,Pomoan
Northern Paiute,Uto-Aztecan
Northern Pomo,Pomoan
Northern Sierra Miwok,Miwok-Costanoan
Northern Yukian,Yuki-Wappo
Northwestern Anishinaabe (Ojibwa),Algic
Nsyilxcən (N̓syil̓xčn̓) (N̓səl̓xčin̓),Not found
Nukak,Kakua-Nukak
Nukini,Pano-Tacanan
Nukunu,Pama-Nyungan
Nunatsiavummiutut,Eskimo-Aleut
Nungali,Mirndi
Nunggubuyu,Gunwinyguan
Nuučaan̓uɫ,Wakashan
Nuxalk,Salishan
Nyaki-nyaki,Not found
Nyamal,Pama-Nyungan
Nyanganyatjara,Pama-Nyungan
Nyangbal,Not found
Nyangumarda,Pama-Nyungan
Nyawaygi,Pama-Nyungan
Nyikina,Nyulnyulan
Nyul Nyul,Nyulnyulan
Náhuatl,Uto-Aztecan
Náhuatl (alto del norte de Puebla),Not found
Náhuatl (central de Veracruz),Not found
Náhuatl (de Oaxaca),Tequistlatecan
Náhuatl (de la Huasteca potosina),Not found
Náhuatl (de la Huasteca veracruzana),Not found
"Náhuatl (de la Sierra negra, norte)",Not found
"Náhuatl (de la Sierra negra, sur)",Not found
Náhuatl (de la Sierra oeste de Puebla),Not found
"Náhuatl (de la Sierra, noreste de Puebla)",Not found
Náhuatl (del Istmo bajo),Not found
Náhuatl (del Istmo),Bookkeeping
Náhuatl (del centro de Puebla),Not found
Náhuatl (del noreste central),Not found
Náhuatl (mexicano central de occidente),Not found
Náhuatl (mexicano de Guerrero),Not found
Náhuatl (mexicano de occidente),Not found
Nüwü Ampagap (Chemehuevi),Uto-Aztecan
Nłeʔkepmxcín,Salishan
Nʉmʉnʉʉ (Comanche),Uto-Aztecan
N̓xaʔmxčín (Wenatchi),Salishan
N’enytsia Vada (Nenets),Uralic
Obispeño,Chumashan
Ocaina,Huitotoan
Ocloya,Not found
Odami (Tepehuano del norte),Not found
Odawa,Algic
Ofaié,Nuclear-Macro-Je
Ofo,Siouan
Ohlone,Miwok-Costanoan
