language,family
Innu-aimun (Uashunnu),Not found
Inuinnaqtun,Eskimo-Aleut
Inuktun,Not found
Inupiaq,Not found
Iogys,Not found
Ipai,Cochimi-Yuman
Iranxe,Unknown
Irritilas/Lagunero,Not found
Iskonawa,Pano-Tacanan
Itonama,Unknown
Itzá,Mayan
Iwaidja,Iwaidjan Proper
Ixil,Mayan
Izhoran Keeli,Not found
Iñapari,Arawakan
Jabirrjabirr,Nyulnyulan
Jaburrara,Not found
Jach-t’aan (Lacandon),Not found
Jaitmatang,Not found
Jamamadí,Arawan
Jaminjung,Mirndi
Janos,Not found
Jaqaru,Aymaran
Jarawára,Not found
Jardwadjali,Not found
Jaru,Pama-Nyungan
Jaspuy pai (Akwa’ala),Not found
Javaé,Nuclear-Macro-Je
Jawoyn,Gunwinyguan
Jiak Noki (Yaqui),Not found
Jingili,Mirndi
Jiw,Guahiboan
Jiwarli,Pama-Nyungan
Joba,Atlantic-Congo
Jococobas,Not found
Jukude,Not found
Jukun,Nyulnyulan
Julimes,Not found
Jumanos,Not found
Jurruru,Pama-Nyungan
Juruna,Tupian
Jíwere ich’é,Not found
Kaantju,Not found
Kadiwéu,Guaicuruan
Kadjerong,Jarrakan
Kagwahiva,Tupian
Kaiabi,Not found
Kaingang,Nuclear-Macro-Je
Kainuu Sámi,Not found
Kakataibo,Not found
Kakinte,Arawakan
Kakua,Kakua-Nukak
Kakán,Not found
Kala Lagaw Ya,Pama-Nyungan
Kalaallisut,Eskimo-Aleut
Kalaamaya,Pama-Nyungan
Kalapalo,Cariban
Kalapuya,Kalapuyan
Kalaw Kawaw Ya,Pama-Nyungan
Kalinago,Not found
Kalispel,Salishan
Kalkadoon,Pama-Nyungan
Kamaiurá,Tupian
Kamilaroi,Pama-Nyungan
Kamsá,Unknown
Kanaagin,Not found
Kanamari,Katukinan
Kandozi-Chapra,Not found
Kanienʼkehá꞉ka (Mohawk),Not found
Kaniyang,Not found
Kanoê,Unknown
Kapanawa,Pano-Tacanan
Kaqchikel,Mayan
Karajarri,Pama-Nyungan
Karajá,Nuclear-Macro-Je
Karangpurru,Not found
Karangura,Pama-Nyungan
Karankawa,Unknown
Karapanã-Tapúya,Not found
Karenggapa,Pama-Nyungan
Karijona,Cariban
Karitiana,Tupian
Kariyarra,Pama-Nyungan
Kariña,Not found
Karjalan Kieli (Karelian),Not found
Karkin,Miwok-Costanoan
Karo,South Omotic
Karuk,Unknown
Karuwali,Not found
Kashaya,Pomoan
Katukina,Bookkeeping
Katukina/Pedá Djapá,Not found
Kaurareg,Not found
Kaurna,Pama-Nyungan
Kaveltcadom,Not found
Kawaiisu,Uto-Aztecan
Kawgian,Not found
Kawiyarí,Not found
Kawki,Not found
Kawéskar,Kawesqar
Kaxarari,Pano-Tacanan
Kaxuyana,Not found
Kaytej,Pama-Nyungan
Kaáⁿze,Not found
Ka’apor,Not found
Kemi Sámi,Not found
Keyauwee,Not found
Keys,Not found
Kichagga,Not found
Kichwa Amazónico,Not found
Kickapoo,Algic
Kija,Jarrakan
Kildin Sámi,Uralic
Kiliwa,Cochimi-Yuman
Kinja Iara,Not found
Kiowa Apache,Athabaskan-Eyak-Tlingit
Kitanemuk,Uto-Aztecan
Kittitas,Not found
Kivallirmiutut,Not found
Kizh,Not found
Klamath,Unknown
Klikitat,Sahaptian
Koasati,Muskogean
Kok Wap,Not found
Kokatha,Pama-Nyungan
Kokiny,Not found
Koknar,Pama-Nyungan
Koko Babangk,Bookkeeping
Koko Dhawa,Pama-Nyungan
Koko-bera,Pama-Nyungan
Kokomini,Not found
Kokowarra,Pama-Nyungan
Komi,Uralic
Konbudj,Not found
Konkow Maidu,Not found
Konomihu,Shastan
Kooma,Pama-Nyungan
Korewaxi,Not found
Koroa,Not found
Korubo,Pano-Tacanan
Kotiria,Tucanoan
Koti’ (Chuj),Not found
